Column1,index,protein_external_id,preferred_name,protein_size,"annotation
",nlp_processing,cancer_noun_identification,sent_negative,sent_positive,sent_neutral,cancer,TP,FP,TN,FN,cancer_real_label
32,3501,9606.ENSP00000272771,TMEFF2,374,tomoregulin  may be a survival factor for hippocampal and mesencephalic neurons the shedded form up regulates cancer cell proliferation probably by promoting erk  phosphorylation ,"['tomoregulin', 'may', 'survival', 'factor', 'hippocampal', 'mesencephalic', 'neuron', 'shedded', 'form', 'regulates', 'cancer', 'cell', 'proliferation', 'probably', 'promoting', 'erk', 'phosphorylation']",1,0.158,0.09,0.753,0,0,0,0,1,1
33,3623,9606.ENSP00000274938,SCUBE3,993,signal peptide cub and egf like domain containing protein  binds to tgfbr and activates tgfb signaling in lung cancer cells could serve as an endogenous autocrine and paracrine ligand of tgfbr which could regulate tgfbr signaling and hence modulate epithelial mesenchymal transition and cancer progression ,"['signal', 'peptide', 'cub', 'egf', 'like', 'domain', 'containing', 'protein', 'bind', 'tgfbr', 'activates', 'tgfb', 'signaling', 'lung', 'cancer', 'cell', 'could', 'serve', 'endogenous', 'autocrine', 'paracrine', 'ligand', 'tgfbr', 'could', 'regulate', 'tgfbr', 'signaling', 'hence', 'modulate', 'epithelial', 'mesenchymal', 'transition', 'cancer', 'progression']",1,0.165,0.047,0.788,0,0,0,0,1,1
34,3671,9606.ENSP00000276241,CT55,264,cancer testis antigen  ,"['cancer', 'testis', 'antigen']",1,0.688,0,0.312,1,0,0,1,0,1
35,3683,9606.ENSP00000276480,ST18,1047,suppression of tumorigenicity  protein repressor that binds to dna sequences containing a bipartite element consisting of a direct repeat of the sequence  aaagttt  separated by   nucleotides represses basal transcription activity from target promoters by similarity inhibits colony formation in cultured breast cancer cells zinc fingers chc type ,"['suppression', 'tumorigenicity', 'protein', 'repressor', 'bind', 'dna', 'sequence', 'containing', 'bipartite', 'element', 'consisting', 'direct', 'repeat', 'sequence', 'aaagttt', 'separated', 'nucleotide', 'represses', 'basal', 'transcription', 'activity', 'target', 'promoter', 'similarity', 'inhibits', 'colony', 'formation', 'cultured', 'breast', 'cancer', 'cell', 'zinc', 'finger', 'chc', 'type']",1,0.212,0,0.788,0,0,0,1,0,0
36,3708,9606.ENSP00000277165,FAM120A,1118,constitutive coactivator of ppar gamma like protein  may participate in mrna transport in the cytoplasm by similarity critical component of the oxidative stress induced survival signaling activates src family kinases and acts as a scaffolding protein enabling src family kinases to phosphorylate and activate pi kinase binds rna and promotes the secretion of igf ii may play a pivotal role in the progression of scirrhous type gastric cancer by supporting cancer cell survival in environments with various oxidative stresses ,"['constitutive', 'coactivator', 'ppar', 'gamma', 'like', 'protein', 'may', 'participate', 'mrna', 'transport', 'cytoplasm', 'similarity', 'critical', 'component', 'oxidative', 'stress', 'induced', 'survival', 'signaling', 'activates', 'src', 'family', 'kinase', 'act', 'scaffolding', 'protein', 'enabling', 'src', 'family', 'kinase', 'phosphorylate', 'activate', 'pi', 'kinase', 'bind', 'rna', 'promotes', 'secretion', 'igf', 'ii', 'may', 'play', 'pivotal', 'role', 'progression', 'scirrhous', 'type', 'gastric', 'cancer', 'supporting', 'cancer', 'cell', 'survival', 'environment', 'various', 'oxidative', 'stress']",1,0.178,0.107,0.715,0,0,0,0,1,1
37,3745,9606.ENSP00000278426,SLC43A1,559,large neutral amino acids transporter small subunit  sodium independent high affinity transport of large neutral amino acids has narrower substrate selectivity compared to slca and slca and mainly transports branched chain amino acids and phenylalanine plays a role in the development of human prostate cancer from prostatic intraepithelial neoplasia to invasive prostate cancer solute carriers ,"['large', 'neutral', 'amino', 'acid', 'transporter', 'small', 'subunit', 'sodium', 'independent', 'high', 'affinity', 'transport', 'large', 'neutral', 'amino', 'acid', 'narrower', 'substrate', 'selectivity', 'compared', 'slca', 'slca', 'mainly', 'transport', 'branched', 'chain', 'amino', 'acid', 'phenylalanine', 'play', 'role', 'development', 'human', 'prostate', 'cancer', 'prostatic', 'intraepithelial', 'neoplasia', 'invasive', 'prostate', 'cancer', 'solute', 'carrier']",1,0.142,0.032,0.825,0,0,0,0,1,1
38,3760,9606.ENSP00000278742,ST14,855,suppressor of tumorigenicity  protein degrades extracellular matrix proposed to play a role in breast cancer invasion and metastasis exhibits trypsin like activity as defined by cleavage of synthetic substrates with arg or lys as the p site involved in the terminal differentiation of keratinocytes through prostasin prss activation and filaggrin flg processing serine proteases ,"['suppressor', 'tumorigenicity', 'protein', 'degrades', 'extracellular', 'matrix', 'proposed', 'play', 'role', 'breast', 'cancer', 'invasion', 'metastasis', 'exhibit', 'trypsin', 'like', 'activity', 'defined', 'cleavage', 'synthetic', 'substrate', 'arg', 'lys', 'p', 'site', 'involved', 'terminal', 'differentiation', 'keratinocytes', 'prostasin', 'pr', 'activation', 'filaggrin', 'flg', 'processing', 'serine', 'protease']",1,0.124,0.081,0.795,0,0,0,1,0,0
39,3792,9606.ENSP00000279147,ORAOV1,137,oral cancer overexpressed  ,"['oral', 'cancer', 'overexpressed']",1,0.688,0,0.312,1,0,0,1,0,1
40,3838,9606.ENSP00000280557,DENR,198,density regulated protein may be involved in the translation of target mrnas by scanning and recognition of the initiation codon involved in translation initiation promotes recruitmnet of aminoacetyled initiator trna to p site of s ribosomes can promote release of deacylated trna and mrna from recycled s subunits following abce mediated dissociation of post termination ribosomal complexes into subunits plays a role in the modulation of the translational profile of a subset of cancer related mrnas when recruited to the translational initiation complex by the oncogene mcts ,"['density', 'regulated', 'protein', 'may', 'involved', 'translation', 'target', 'mrna', 'scanning', 'recognition', 'initiation', 'codon', 'involved', 'translation', 'initiation', 'promotes', 'recruitmnet', 'aminoacetyled', 'initiator', 'trna', 'p', 'site', 'ribosome', 'promote', 'release', 'deacylated', 'trna', 'mrna', 'recycled', 'subunit', 'following', 'abce', 'mediated', 'dissociation', 'post', 'termination', 'ribosomal', 'complex', 'subunit', 'play', 'role', 'modulation', 'translational', 'profile', 'subset', 'cancer', 'related', 'mrna', 'recruited', 'translational', 'initiation', 'complex', 'oncogene', 'mcts']",1,0.049,0.078,0.872,0,0,0,0,1,1
41,3840,9606.ENSP00000280605,TKTL2,626,transketolase like protein  plays an essential role in total transketolase activity and cell proliferation in cancer cells after transfection with anti tktl sirna total transketolase activity dramatically decreases and proliferation was significantly inhibited in cancer cells plays a pivotal role in carcinogenesis belongs to the transketolase family ,"['transketolase', 'like', 'protein', 'play', 'essential', 'role', 'total', 'transketolase', 'activity', 'cell', 'proliferation', 'cancer', 'cell', 'transfection', 'anti', 'tktl', 'sirna', 'total', 'transketolase', 'activity', 'dramatically', 'decrease', 'proliferation', 'significantly', 'inhibited', 'cancer', 'cell', 'play', 'pivotal', 'role', 'carcinogenesis', 'belongs', 'transketolase', 'family']",1,0.216,0.112,0.672,0,0,0,0,1,1
42,3945,9606.ENSP00000282397,FLT1,1338,vascular endothelial growth factor receptor  tyrosine protein kinase that acts as a cell surface receptor for vegfa vegfb and pgf and plays an essential role in the development of embryonic vasculature the regulation of angiogenesis cell survival cell migration macrophage function chemotaxis and cancer cell invasion may play an essential role as a negative regulator of embryonic angiogenesis by inhibiting excessive proliferation of endothelial cells can promote endothelial cell proliferation survival and angiogenesis in adulthood its function in promoting cell proliferati ,"['vascular', 'endothelial', 'growth', 'factor', 'receptor', 'tyrosine', 'protein', 'kinase', 'act', 'cell', 'surface', 'receptor', 'vegfa', 'vegfb', 'pgf', 'play', 'essential', 'role', 'development', 'embryonic', 'vasculature', 'regulation', 'angiogenesis', 'cell', 'survival', 'cell', 'migration', 'macrophage', 'function', 'chemotaxis', 'cancer', 'cell', 'invasion', 'may', 'play', 'essential', 'role', 'negative', 'regulator', 'embryonic', 'angiogenesis', 'inhibiting', 'excessive', 'proliferation', 'endothelial', 'cell', 'promote', 'endothelial', 'cell', 'proliferation', 'survival', 'angiogenesis', 'adulthood', 'function', 'promoting', 'cell', 'proliferati']",1,0.103,0.131,0.767,0,0,0,1,0,0
43,4065,9606.ENSP00000284984,ADAMTS1,967,a disintegrin and metalloproteinase with thrombospondin motifs  cleaves aggrecan a cartilage proteoglycan at the  glu leu  site within the chondroitin sulfate attachment domain and may be involved in its turnover by similarity has angiogenic inhibitor activity active metalloprotease which may be associated with various inflammatory processes as well as development of cancer cachexia may play a critical role in follicular rupture adam metallopeptidases with thrombospondin type  motif ,"['disintegrin', 'metalloproteinase', 'thrombospondin', 'motif', 'cleaves', 'aggrecan', 'cartilage', 'proteoglycan', 'glu', 'leu', 'site', 'within', 'chondroitin', 'sulfate', 'attachment', 'domain', 'may', 'involved', 'turnover', 'similarity', 'angiogenic', 'inhibitor', 'activity', 'active', 'metalloprotease', 'may', 'associated', 'various', 'inflammatory', 'process', 'well', 'development', 'cancer', 'cachexia', 'may', 'play', 'critical', 'role', 'follicular', 'rupture', 'adam', 'metallopeptidases', 'thrombospondin', 'type', 'motif']",1,0.108,0.126,0.766,0,0,0,0,1,1
44,4081,9606.ENSP00000285279,VOPP1,172,vesicular overexpressed in cancer prosurvival protein  increases the transcriptional activity of nfkb by facilitating its nuclear translocation dna binding and associated apoptotic response when overexpressed belongs to the vopp ecop family ,"['vesicular', 'overexpressed', 'cancer', 'prosurvival', 'protein', 'increase', 'transcriptional', 'activity', 'nfkb', 'facilitating', 'nuclear', 'translocation', 'dna', 'binding', 'associated', 'apoptotic', 'response', 'overexpressed', 'belongs', 'vopp', 'ecop', 'family']",1,0.128,0,0.872,0,,0,0,1,1
45,4083,9606.ENSP00000285311,DKK2,259,dickkopf related protein  antagonizes canonical wnt signaling by inhibiting lrp  interaction with wnt and by forming a ternary complex with the transmembrane protein kremen that promotes internalization of lrp  dkks play an important role in vertebrate development where they locally inhibit wnt regulated processes such as antero posterior axial patterning limb development somitogenesis and eye formation in the adult dkks are implicated in bone formation and bone disease cancer and alzheimer disease by similarity belongs to the dickkopf family ,"['dickkopf', 'related', 'protein', 'antagonizes', 'canonical', 'wnt', 'signaling', 'inhibiting', 'lrp', 'interaction', 'wnt', 'forming', 'ternary', 'complex', 'transmembrane', 'protein', 'kremen', 'promotes', 'internalization', 'lrp', 'dkks', 'play', 'important', 'role', 'vertebrate', 'development', 'locally', 'inhibit', 'wnt', 'regulated', 'process', 'antero', 'posterior', 'axial', 'patterning', 'limb', 'development', 'somitogenesis', 'eye', 'formation', 'adult', 'dkks', 'implicated', 'bone', 'formation', 'bone', 'disease', 'cancer', 'alzheimer', 'disease', 'similarity', 'belongs', 'dickkopf', 'family']",1,0.113,0.075,0.811,0,0,0,0,1,1
46,4178,9606.ENSP00000287394,ATAD2,1390,atpase family aaa domain containing protein  may be a transcriptional coactivator of the nuclear receptor esr required to induce the expression of a subset of estradiol target genes such as ccnd myc and ef may play a role in the recruitment or occupancy of crebbp at some esr target gene promoters may be required for histone hyperacetylation involved in the estrogen induced cell proliferation and cell cycle progression of breast cancer cells belongs to the aaa atpase family ,"['atpase', 'family', 'aaa', 'domain', 'containing', 'protein', 'may', 'transcriptional', 'coactivator', 'nuclear', 'receptor', 'esr', 'required', 'induce', 'expression', 'subset', 'estradiol', 'target', 'gene', 'ccnd', 'myc', 'ef', 'may', 'play', 'role', 'recruitment', 'occupancy', 'crebbp', 'esr', 'target', 'gene', 'promoter', 'may', 'required', 'histone', 'hyperacetylation', 'involved', 'estrogen', 'induced', 'cell', 'proliferation', 'cell', 'cycle', 'progression', 'breast', 'cancer', 'cell', 'belongs', 'aaa', 'atpase', 'family']",1,0.055,0.03,0.915,0,0,0,0,1,1
47,4396,9606.ENSP00000291906,PKN3,889,serine threonine protein kinase n contributes to invasiveness in malignant prostate cancer belongs to the protein kinase superfamily agc ser thr protein kinase family pkc subfamily ,"['serine', 'threonine', 'protein', 'kinase', 'n', 'contributes', 'invasiveness', 'malignant', 'prostate', 'cancer', 'belongs', 'protein', 'kinase', 'superfamily', 'agc', 'ser', 'thr', 'protein', 'kinase', 'family', 'pkc', 'subfamily']",1,0.155,0,0.845,0,0,0,0,1,1
48,4418,9606.ENSP00000292401,AZGP1,298,zinc alpha  glycoprotein stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers may bind polyunsaturated fatty acids belongs to the mhc class i family ,"['zinc', 'alpha', 'glycoprotein', 'stimulates', 'lipid', 'degradation', 'adipocytes', 'cause', 'extensive', 'fat', 'loss', 'associated', 'advanced', 'cancer', 'may', 'bind', 'polyunsaturated', 'fatty', 'acid', 'belongs', 'mhc', 'class', 'family']",1,0.169,0.111,0.72,0,0,0,0,1,1
49,4604,9606.ENSP00000295379,BMP10,424,bone morphogenetic protein  required for maintaining the proliferative activity of embryonic cardiomyocytes by preventing premature activation of the negative cell cycle regulator cdknc pkip and maintaining the required expression levels of cardiogenic factors such as mefc and nkx  acts as a ligand for acvrl alk bmpra alk and bmprb alk leading to activation of smad smad and smad transcription factors inhibits endothelial cell migration and growth may reduce cell migration and cell matrix adhesion in breast cancer cell lines belongs to the tgf beta family ,"['bone', 'morphogenetic', 'protein', 'required', 'maintaining', 'proliferative', 'activity', 'embryonic', 'cardiomyocytes', 'preventing', 'premature', 'activation', 'negative', 'cell', 'cycle', 'regulator', 'cdknc', 'pkip', 'maintaining', 'required', 'expression', 'level', 'cardiogenic', 'factor', 'mefc', 'nkx', 'act', 'ligand', 'acvrl', 'alk', 'bmpra', 'alk', 'bmprb', 'alk', 'leading', 'activation', 'smad', 'smad', 'smad', 'transcription', 'factor', 'inhibits', 'endothelial', 'cell', 'migration', 'growth', 'may', 'reduce', 'cell', 'migration', 'cell', 'matrix', 'adhesion', 'breast', 'cancer', 'cell', 'line', 'belongs', 'tgf', 'beta', 'family']",1,0.12,0.028,0.852,0,0,0,1,0,0
50,4756,9606.ENSP00000296522,HPGD,266, hydroxyprostaglandin dehydrogenase nad prostaglandin inactivation contributes to the regulation of events that are under the control of prostaglandin levels catalyzes the nad dependent dehydrogenation of lipoxin a to form  oxo lipoxin a inhibits in vivo proliferation of colon cancer cells short chain dehydrogenase reductase superfamily ,"['hydroxyprostaglandin', 'dehydrogenase', 'nad', 'prostaglandin', 'inactivation', 'contributes', 'regulation', 'event', 'control', 'prostaglandin', 'level', 'catalyzes', 'nad', 'dependent', 'dehydrogenation', 'lipoxin', 'form', 'oxo', 'lipoxin', 'inhibits', 'vivo', 'proliferation', 'colon', 'cancer', 'cell', 'short', 'chain', 'dehydrogenase', 'reductase', 'superfamily']",1,0.133,0,0.867,0,0,0,0,1,1
51,5072,9606.ENSP00000299957,CASC4,436,protein casc cancer susceptibility  belongs to the golm casc family ,"['protein', 'casc', 'cancer', 'susceptibility', 'belongs', 'golm', 'casc', 'family']",1,0.328,0,0.672,0,0,0,0,1,1
52,5178,9606.ENSP00000301141,CYP2A6,494,cytochrome p a exhibits a high coumarin  hydroxylase activity can act in the hydroxylation of the anti cancer drugs cyclophosphamide and ifosphamide competent in the metabolic activation of aflatoxin b constitutes the major nicotine c oxidase acts as a   cineole  exo monooxygenase possesses low phenacetin o deethylation activity cytochrome p family  ,"['cytochrome', 'p', 'exhibit', 'high', 'coumarin', 'hydroxylase', 'activity', 'act', 'hydroxylation', 'anti', 'cancer', 'drug', 'cyclophosphamide', 'ifosphamide', 'competent', 'metabolic', 'activation', 'aflatoxin', 'b', 'constitutes', 'major', 'nicotine', 'c', 'oxidase', 'act', 'cineole', 'exo', 'monooxygenase', 'posse', 'low', 'phenacetin', 'deethylation', 'activity', 'cytochrome', 'p', 'family']",1,0.176,0.046,0.778,0,0,0,1,0,0
53,5382,9606.ENSP00000303070,SCGB1D1,90,secretoglobin family d member  may bind androgens and other steroids may also bind estramustine a chemotherapeutic agent used for prostate cancer may be under transcriptional regulation of steroid hormones secretoglobins ,"['secretoglobin', 'family', 'member', 'may', 'bind', 'androgen', 'steroid', 'may', 'also', 'bind', 'estramustine', 'chemotherapeutic', 'agent', 'used', 'prostate', 'cancer', 'may', 'transcriptional', 'regulation', 'steroid', 'hormone', 'secretoglobins']",1,0.14,0,0.86,0,0,0,1,0,0
54,5425,9606.ENSP00000303508,FRMD3,597,ferm domain containing protein  putative tumor suppressor gene that may be implicated in the origin and progression of lung cancer ferm domain containing ,"['ferm', 'domain', 'containing', 'protein', 'putative', 'tumor', 'suppressor', 'gene', 'may', 'implicated', 'origin', 'progression', 'lung', 'cancer', 'ferm', 'domain', 'containing']",1,0.25,0,0.75,0,0,0,0,1,1
55,5531,9606.ENSP00000304782,CES3,571,carboxylesterase  involved in the detoxification of xenobiotics and in the activation of ester and amide prodrugs shows low catalytic efficiency for hydrolysis of cpt   ethyl    piperidino  piperidino carbonyloxycamptothecin a prodrug for camptothecin used in cancer therapeutics carboxylesterases ,"['carboxylesterase', 'involved', 'detoxification', 'xenobiotics', 'activation', 'ester', 'amide', 'prodrugs', 'show', 'low', 'catalytic', 'efficiency', 'hydrolysis', 'cpt', 'ethyl', 'piperidino', 'piperidino', 'carbonyloxycamptothecin', 'prodrug', 'camptothecin', 'used', 'cancer', 'therapeutic', 'carboxylesterases']",1,0.155,0.06,0.786,0,0,0,1,0,0
56,5652,9606.ENSP00000306124,PRKCE,737,protein kinase c epsilon type calcium independent phospholipid and diacylglycerol dag dependent serine threonine protein kinase that plays essential roles in the regulation of multiple cellular processes linked to cytoskeletal proteins such as cell adhesion motility migration and cell cycle functions in neuron growth and ion channel regulation and is involved in immune response cancer cell invasion and regulation of apoptosis mediates cell adhesion to the extracellular matrix via integrin dependent signaling by mediating angiotensin  induced activation of integrin beta  ,"['protein', 'kinase', 'c', 'epsilon', 'type', 'calcium', 'independent', 'phospholipid', 'diacylglycerol', 'dag', 'dependent', 'serine', 'threonine', 'protein', 'kinase', 'play', 'essential', 'role', 'regulation', 'multiple', 'cellular', 'process', 'linked', 'cytoskeletal', 'protein', 'cell', 'adhesion', 'motility', 'migration', 'cell', 'cycle', 'function', 'neuron', 'growth', 'ion', 'channel', 'regulation', 'involved', 'immune', 'response', 'cancer', 'cell', 'invasion', 'regulation', 'apoptosis', 'mediates', 'cell', 'adhesion', 'extracellular', 'matrix', 'via', 'integrin', 'dependent', 'signaling', 'mediating', 'angiotensin', 'induced', 'activation', 'integrin', 'beta']",1,0.051,0.079,0.87,0,0,0,0,1,1
57,5784,9606.ENSP00000307513,MRC2,1479,c type mannose receptor  may play a role as endocytotic lectin receptor displaying calcium dependent lectin activity internalizes glycosylated ligands from the extracellular space for release in an endosomal compartment via clathrin mediated endocytosis may be involved in plasminogen activation system controlling the extracellular level of plaur plau and thus may regulate protease activity at the cell surface may contribute to cellular uptake remodeling and degradation of extracellular collagen matrices may play a role during cancer progression as well as in other chronic tissu ,"['c', 'type', 'mannose', 'receptor', 'may', 'play', 'role', 'endocytotic', 'lectin', 'receptor', 'displaying', 'calcium', 'dependent', 'lectin', 'activity', 'internalizes', 'glycosylated', 'ligand', 'extracellular', 'space', 'release', 'endosomal', 'compartment', 'via', 'clathrin', 'mediated', 'endocytosis', 'may', 'involved', 'plasminogen', 'activation', 'system', 'controlling', 'extracellular', 'level', 'plaur', 'plau', 'thus', 'may', 'regulate', 'protease', 'activity', 'cell', 'surface', 'may', 'contribute', 'cellular', 'uptake', 'remodeling', 'degradation', 'extracellular', 'collagen', 'matrix', 'may', 'play', 'role', 'cancer', 'progression', 'well', 'chronic', 'tissu']",1,0.086,0.076,0.838,0,0,0,0,1,1
58,5885,9606.ENSP00000308597,DLEC1,1755,deleted in lung and esophageal cancer protein  may act as a tumor suppressor by inhibiting cell proliferation cilia and flagella associated ,"['deleted', 'lung', 'esophageal', 'cancer', 'protein', 'may', 'act', 'tumor', 'suppressor', 'inhibiting', 'cell', 'proliferation', 'cilium', 'flagellum', 'associated']",1,0.331,0,0.669,0,0,0,1,0,0
59,5950,9606.ENSP00000309376,CD164,197,sialomucin core protein  sialomucin that may play a key role in hematopoiesis by facilitating the adhesion of cd cells to the stroma and by negatively regulating cd cd lo cell proliferation modulates the migration of umbilical cord blood cd cells and this is mediated through the cxcl cxcr axis may play an important role in prostate cancer metastasis and the infiltration of bone marrow by cancer cells promotes myogenesis by enhancing cxcr dependent cell motility positively regulates myoblast migration and promotes myoblast fusion into myotubes by similarity ,"['sialomucin', 'core', 'protein', 'sialomucin', 'may', 'play', 'key', 'role', 'hematopoiesis', 'facilitating', 'adhesion', 'cd', 'cell', 'stroma', 'negatively', 'regulating', 'cd', 'cd', 'lo', 'cell', 'proliferation', 'modulates', 'migration', 'umbilical', 'cord', 'blood', 'cd', 'cell', 'mediated', 'cxcl', 'cxcr', 'axis', 'may', 'play', 'important', 'role', 'prostate', 'cancer', 'metastasis', 'infiltration', 'bone', 'marrow', 'cancer', 'cell', 'promotes', 'myogenesis', 'enhancing', 'cxcr', 'dependent', 'cell', 'motility', 'positively', 'regulates', 'myoblast', 'migration', 'promotes', 'myoblast', 'fusion', 'myotubes', 'similarity']",1,0.087,0.146,0.768,0,0,0,0,1,1
60,5976,9606.ENSP00000309572,TERT,1132,telomerase reverse transcriptase telomerase is a ribonucleoprotein enzyme essential for the replication of chromosome termini in most eukaryotes active in progenitor and cancer cells inactive or very low activity in normal somatic cells catalytic component of the teleromerase holoenzyme complex whose main activity is the elongation of telomeres by acting as a reverse transcriptase that adds simple sequence repeats to chromosome ends by copying a template sequence within the rna component of the enzyme catalyzes the rna dependent extension of  chromosomal termini with the  n ,"['telomerase', 'reverse', 'transcriptase', 'telomerase', 'ribonucleoprotein', 'enzyme', 'essential', 'replication', 'chromosome', 'terminus', 'eukaryote', 'active', 'progenitor', 'cancer', 'cell', 'inactive', 'low', 'activity', 'normal', 'somatic', 'cell', 'catalytic', 'component', 'teleromerase', 'holoenzyme', 'complex', 'whose', 'main', 'activity', 'elongation', 'telomere', 'acting', 'reverse', 'transcriptase', 'add', 'simple', 'sequence', 'repeat', 'chromosome', 'end', 'copying', 'template', 'sequence', 'within', 'rna', 'component', 'enzyme', 'catalyzes', 'rna', 'dependent', 'extension', 'chromosomal', 'terminus', 'n']",1,0.077,0.034,0.889,0,0,0,0,1,1
61,6137,9606.ENSP00000311364,MUCL1,90,mucin like protein  may play a role as marker for the diagnosis of metastatic breast cancer ,"['mucin', 'like', 'protein', 'may', 'play', 'role', 'marker', 'diagnosis', 'metastatic', 'breast', 'cancer']",1,0.207,0.23,0.563,0,0,0,0,1,1
62,6179,9606.ENSP00000311746,KLK10,276,kallikrein  has a tumor suppressor role for nes in breast and prostate cancer belongs to the peptidase s family kallikrein subfamily ,"['kallikrein', 'tumor', 'suppressor', 'role', 'ne', 'breast', 'prostate', 'cancer', 'belongs', 'peptidase', 'family', 'kallikrein', 'subfamily']",1,0.292,0,0.708,0,0,0,1,0,0
63,6366,9606.ENSP00000314080,HIC1,733,hypermethylated in cancer  protein transcriptional repressor recognizes and binds to the consensus sequence  cg ng cg gggca ca cc  may act as a tumor suppressor may be involved in development of head face limbs and ventral body wall involved in down regulation of sirt and thereby is involved in regulation of p tp dependent apoptotic dna damage responses the specific target gene promoter association seems to be depend on corepressors such as ctbp or ctbp and mta the regulation of sirt transcription in response to nutrient deprivation seems to involve ctbp in c ,"['hypermethylated', 'cancer', 'protein', 'transcriptional', 'repressor', 'recognizes', 'bind', 'consensus', 'sequence', 'cg', 'ng', 'cg', 'gggca', 'ca', 'cc', 'may', 'act', 'tumor', 'suppressor', 'may', 'involved', 'development', 'head', 'face', 'limb', 'ventral', 'body', 'wall', 'involved', 'regulation', 'sirt', 'thereby', 'involved', 'regulation', 'p', 'tp', 'dependent', 'apoptotic', 'dna', 'damage', 'response', 'specific', 'target', 'gene', 'promoter', 'association', 'seems', 'depend', 'corepressors', 'ctbp', 'ctbp', 'mta', 'regulation', 'sirt', 'transcription', 'response', 'nutrient', 'deprivation', 'seems', 'involve', 'ctbp', 'c']",1,0.153,0,0.847,0,0,0,1,0,0
64,7012,9606.ENSP00000322804,MTSS1,759,metastasis suppressor protein  may be related to cancer progression or tumor metastasis in a variety of organ sites most likely through an interaction with the actin cytoskeleton i bar domain containing ,"['metastasis', 'suppressor', 'protein', 'may', 'related', 'cancer', 'progression', 'tumor', 'metastasis', 'variety', 'organ', 'site', 'likely', 'interaction', 'actin', 'cytoskeleton', 'bar', 'domain', 'containing']",1,0.206,0,0.794,0,0,0,0,1,1
65,7141,9606.ENSP00000324404,TCHP,498,trichoplein keratin filament binding protein tumor suppressor which has the ability to inhibit cell growth and be pro apoptotic during cell stress inhibits cell growth in bladder and prostate cancer cells by a down regulation of hspb by inhibiting its phosphorylation may act as a capping or branching protein for keratin filaments in the cell periphery may regulate k k filament and desmosome organization mainly at the apical or peripheral regions of simple epithelial cells is a negative regulator of ciliogenesis belongs to the tchp family ,"['trichoplein', 'keratin', 'filament', 'binding', 'protein', 'tumor', 'suppressor', 'ability', 'inhibit', 'cell', 'growth', 'pro', 'apoptotic', 'cell', 'stress', 'inhibits', 'cell', 'growth', 'bladder', 'prostate', 'cancer', 'cell', 'regulation', 'hspb', 'inhibiting', 'phosphorylation', 'may', 'act', 'capping', 'branching', 'protein', 'keratin', 'filament', 'cell', 'periphery', 'may', 'regulate', 'k', 'k', 'filament', 'desmosome', 'organization', 'mainly', 'apical', 'peripheral', 'region', 'simple', 'epithelial', 'cell', 'negative', 'regulator', 'ciliogenesis', 'belongs', 'tchp', 'family']",1,0.198,0.077,0.725,0,0,0,1,0,0
66,7228,9606.ENSP00000325548,CNDP2,475,cytosolic non specific dipeptidase hydrolyzes a variety of dipeptides including l carnosine but has a strong preference for cys gly acts as a functional tumor suppressor in gastric cancer via activation of the mitogen activated protein kinase mapk pathway an elevated level of cndp activates the p and jnk mapk pathways to induce cell apoptosis and a lower level of cndp activates the erk mapk pathway to promote cell proliferation isoform  may play a role as tumor suppressor in hepatocellular carcinoma hcc cells catalyzes the production of n lactoyl amino acids from lactat ,"['cytosolic', 'non', 'specific', 'dipeptidase', 'hydrolyzes', 'variety', 'dipeptides', 'including', 'l', 'carnosine', 'strong', 'preference', 'cys', 'gly', 'act', 'functional', 'tumor', 'suppressor', 'gastric', 'cancer', 'via', 'activation', 'mitogen', 'activated', 'protein', 'kinase', 'mapk', 'pathway', 'elevated', 'level', 'cndp', 'activates', 'p', 'jnk', 'mapk', 'pathway', 'induce', 'cell', 'apoptosis', 'lower', 'level', 'cndp', 'activates', 'erk', 'mapk', 'pathway', 'promote', 'cell', 'proliferation', 'isoform', 'may', 'play', 'role', 'tumor', 'suppressor', 'hepatocellular', 'carcinoma', 'hcc', 'cell', 'catalyzes', 'production', 'n', 'lactoyl', 'amino', 'acid', 'lactat']",1,0.15,0.105,0.745,0,0,0,1,0,0
67,7438,9606.ENSP00000328088,PAWR,340,prkc apoptosis wt regulator protein pro apoptopic protein capable of selectively inducing apoptosis in cancer cells sensitizing the cells to diverse apoptotic stimuli and causing regression of tumors in animal models induces apoptosis in certain cancer cells by activation of the fas prodeath pathway and coparallel inhibition of nf kappa b transcriptional activity inhibits the transcriptional activation and augments the transcriptional repression mediated by wt down regulates the anti apoptotic protein bcl via its interaction with wt seems also to be a transcriptional repress ,"['prkc', 'apoptosis', 'wt', 'regulator', 'protein', 'pro', 'apoptopic', 'protein', 'capable', 'selectively', 'inducing', 'apoptosis', 'cancer', 'cell', 'sensitizing', 'cell', 'diverse', 'apoptotic', 'stimulus', 'causing', 'regression', 'tumor', 'animal', 'model', 'induces', 'apoptosis', 'certain', 'cancer', 'cell', 'activation', 'fa', 'prodeath', 'pathway', 'coparallel', 'inhibition', 'nf', 'kappa', 'b', 'transcriptional', 'activity', 'inhibits', 'transcriptional', 'activation', 'augments', 'transcriptional', 'repression', 'mediated', 'wt', 'regulates', 'anti', 'apoptotic', 'protein', 'bcl', 'via', 'interaction', 'wt', 'seems', 'also', 'transcriptional', 'repress']",1,0.209,0.048,0.743,0,0,0,1,0,0
